,City,Country,Date,Max Temp,Humidity,Cloudiness,Wind Speed,Latitude,Longitude
103,Torbay,CA,1603627200,49.98,99,95,15.79,47.6666,-52.7314
245,Mnogovershinnyy,RU,1603627200,36.1,99,100,13.2,53.9353,139.9242
522,Kiruna,SE,1603627200,28.17,99,91,3.22,67.8557,20.2251
171,Gari,RU,1603627200,31.35,99,95,2.1,59.4307,62.3497
307,Vuktyl,RU,1603627200,26.94,98,100,7.61,63.8567,57.3094
64,Nyurba,RU,1603627200,23.58,98,80,5.66,63.2842,118.3319
369,Clarence Town,AU,1603627200,56.21,98,95,4.12,-32.5833,151.7833
467,Tilichiki,RU,1603627200,29.7,98,43,5.75,60.4667,166.1
78,Kemijärvi,FI,1603627200,31.28,97,94,0.83,66.7131,27.4306
226,Alekseyevsk,RU,1603627200,30.79,97,100,9.57,57.8406,108.3492
276,Muzhi,RU,1603627200,21.58,97,100,9.08,65.3667,64.6667
166,Kysyl-Syr,RU,1603627200,19.31,97,90,3.18,63.8986,122.7617
118,Dikson,RU,1603627200,17.35,97,92,10.38,73.5069,80.5464
527,Bay Roberts,CA,1603627200,52.41,96,100,12.8,47.5999,-53.2648
94,Tefé,BR,1603627200,75.0,96,100,4.03,-3.3542,-64.7114
187,Chul'man,RU,1603627200,22.57,96,92,3.13,56.8479,124.9104
189,Mabaruma,GY,1603627200,77.09,96,82,1.9,8.2,-59.7833
101,Staryy Nadym,RU,1603627200,16.68,96,18,11.59,65.6118,72.6842
290,Primero de Enero,CU,1603627200,75.33,96,100,1.9,21.9469,-78.4283
148,Airai,TL,1603627200,66.51,96,96,1.5,-8.9266,125.4092
206,Cherskiy,RU,1603627200,11.07,96,77,2.53,68.75,161.3
8,Mataura,NZ,1603627200,45.9,96,100,2.73,-46.1927,168.8643
202,Tuktoyaktuk,CA,1603627200,23.72,95,49,20.98,69.4541,-133.0374
66,Zyryanka,RU,1603627200,18.68,95,100,6.02,65.75,150.85
176,Tasiilaq,GL,1603627200,29.39,95,90,2.89,65.6145,-37.6368
126,Kaitangata,NZ,1603627200,47.7,95,99,4.63,-46.2817,169.8464
254,Tura,IN,1603627200,74.84,95,26,3.36,25.5198,90.2201
129,Diamantina,BR,1603627200,62.44,95,94,4.65,-18.2494,-43.6003
59,Mar del Plata,AR,1603627200,59.41,95,95,8.79,-38.0023,-57.5575
242,Esso,RU,1603627200,30.18,95,100,6.62,55.9333,158.7
416,Dingle,PH,1603627200,75.42,95,100,10.07,10.9995,122.6711
157,Khatanga,RU,1603627200,7.86,95,100,11.25,71.9667,102.5
471,Omsukchan,RU,1603627200,26.74,95,100,7.34,62.5333,155.8
506,North Platte,US,1603627200,24.21,95,95,13.6,41.1239,-100.7654
89,Puerto Rondón,CO,1603627200,74.21,95,79,6.87,6.2805,-71.1
348,Chapais,CA,1603627200,19.38,95,61,5.5,49.7834,-74.8492
392,Srednekolymsk,RU,1603627200,16.79,95,95,2.44,67.45,153.6833
147,Tommot,RU,1603627200,26.58,95,66,4.14,58.9564,126.2925
198,Ulladulla,AU,1603627200,56.35,94,87,16.51,-35.35,150.4667
67,Fortuna,US,1603627200,45.93,94,50,2.89,40.5982,-124.1573
319,Starkville,US,1603627200,50.72,94,46,4.83,33.4504,-88.8184
23,Jacareacanga,BR,1603627200,74.57,94,95,1.07,-6.2222,-57.7528
268,Estelle,US,1603627200,61.3,94,0,6.38,29.8458,-90.1067
82,Chui,UY,1603627200,67.37,94,81,10.04,-33.6971,-53.4616
77,Khandyga,RU,1603627200,9.63,94,0,1.19,62.6667,135.6
511,Flin Flon,CA,1603627200,19.51,94,84,7.23,54.7682,-101.865
389,Wahiawā,US,1603627200,71.69,94,3,2.04,21.5028,-158.0236
501,Fort Payne,US,1603627200,61.92,94,87,4.7,34.4442,-85.7197
90,Saskylakh,RU,1603627200,10.53,93,100,15.97,71.9167,114.0833
102,Jamestown,US,1603627200,32.49,93,7,4.12,42.097,-79.2353
68,Broome,US,1603627200,32.31,93,44,3.87,42.2506,-75.833
261,Andrelândia,BR,1603627200,64.36,93,100,1.36,-21.7397,-44.3092
248,Vysokogornyy,RU,1603627200,34.86,93,100,7.31,50.1167,139.15
460,Ostrovnoy,RU,1603627200,31.14,93,47,12.33,68.0531,39.5131
174,Lebanon,US,1603627200,52.84,93,83,3.65,36.2081,-86.2911
159,Dubuque,US,1603627200,30.25,93,94,8.48,42.4833,-90.8668
294,Nanortalik,GL,1603627200,32.81,93,100,23.09,60.1432,-45.2371
424,Tuatapere,NZ,1603627200,45.79,93,100,5.26,-46.1333,167.6833
131,Vila Velha,BR,1603627200,73.96,93,87,11.72,-20.3297,-40.2925
143,Pevek,RU,1603627200,27.16,93,25,4.0,69.7008,170.3133
492,Santo Tomas,PH,1603627200,77.34,93,95,5.95,14.1079,121.1414
251,Lata,PT,1603627200,59.63,92,100,6.38,40.1629,-8.3327
402,Lukovetskiy,RU,1603627200,33.06,92,82,6.35,64.2956,41.9211
164,Te Anau,NZ,1603627200,47.26,92,100,3.6,-45.4167,167.7167
246,Mosquera,CO,1603627200,54.63,92,80,2.93,4.7059,-74.2302
155,Zhigansk,RU,1603627200,11.28,92,85,8.77,66.7697,123.3711
287,Sungai Penuh,ID,1603627200,68.81,92,100,2.17,-2.0833,101.3833
179,Balakhninskiy,RU,1603627200,33.01,92,100,1.32,58.0106,114.2769
288,Marawi,PH,1603627200,73.53,92,100,7.92,7.9986,124.2928
87,Provideniya,RU,1603627200,32.47,92,9,5.73,64.3833,-173.3
518,Pascagoula,US,1603627200,62.74,92,82,6.46,30.3658,-88.5561
238,Bundaberg,AU,1603627200,72.7,92,64,6.87,-24.85,152.35
366,Motygino,RU,1603627200,27.18,92,87,5.41,58.1831,94.7592
354,Nome,US,1603627200,36.68,92,95,6.82,64.5011,-165.4064
504,Verkhnyaya Inta,RU,1603627200,22.08,92,100,12.03,65.9811,60.3094
213,São João da Barra,BR,1603627200,72.99,92,95,9.19,-21.6403,-41.0511
299,Pacific Grove,US,1603627200,57.99,92,94,6.06,36.6177,-121.9166
106,Sangar,RU,1603627200,12.88,92,2,5.21,63.9242,127.4739
