,City,Country,Date,Max Temp,Humidity,Cloudiness,Wind Speed,Latitude,Longitude
0,Strezhevoy,RU,1603627200,24.57,89,95,14.14,60.7333,77.5889
1,Chokurdakh,RU,1603627200,8.17,91,6,11.92,70.6333,147.9167
2,Plettenberg Bay,ZA,1603627200,68.36,68,84,7.23,-34.0527,23.3716
3,Alofi,NU,1603627200,76.73,84,100,20.6,-19.0595,-169.9187
4,Constitución,CL,1603627200,51.58,80,3,6.98,-35.3333,-72.4167
5,Suzhou,CN,1603627200,62.08,78,25,7.52,31.3114,120.6181
6,Rikitea,PF,1603627200,73.15,83,100,5.12,-23.1203,-134.9692
7,Severo-Kuril'sk,RU,1603627200,44.58,83,35,6.91,50.6789,156.125
8,Atuona,PF,1603627200,78.06,77,26,18.77,-9.8,-139.0333
9,Hermanus,ZA,1603627200,64.78,77,99,11.56,-34.4187,19.2345
10,Athabasca,CA,1603627200,13.95,89,0,7.25,54.7169,-113.2854
11,Tuktoyaktuk,CA,1603627200,23.72,95,49,20.98,69.4541,-133.0374
12,Busselton,AU,1603627200,69.31,57,20,8.21,-33.65,115.3333
13,La Ronge,CA,1603627200,20.12,81,90,10.54,55.1001,-105.2842
14,Puerto Ayora,EC,1603627200,67.35,90,99,9.1,-0.7393,-90.3518
15,Albany,US,1603627200,35.94,77,80,2.51,42.6001,-73.9662
16,São Filipe,CV,1603627200,83.66,65,100,13.51,14.8961,-24.4956
17,Port Macquarie,AU,1603627200,61.59,96,86,9.57,-31.4333,152.9167
18,Bengkulu,ID,1603627200,78.85,80,100,1.16,-3.8004,102.2655
19,Qaqortoq,GL,1603627200,31.26,78,100,22.88,60.7167,-46.0333
20,Linxia Chengguanzhen,CN,1603627200,53.19,42,94,4.85,35.6003,103.2064
21,Longyearbyen,SJ,1603627200,21.11,88,82,3.27,78.2186,15.6401
22,Mar del Plata,AR,1603627200,59.41,95,95,8.79,-38.0023,-57.5575
23,Talnakh,RU,1603627200,9.16,93,69,7.67,69.4865,88.3972
24,Meulaboh,ID,1603627200,80.98,74,96,3.13,4.1363,96.1285
25,Ucluelet,CA,1603627200,37.76,83,4,6.71,48.9329,-125.5528
26,Tirumullaivāsal,IN,1603627200,84.83,68,100,5.39,11.2333,79.8333
27,Severomuysk,RU,1603627200,21.43,94,100,2.75,56.1481,113.4267
28,Mauguio,FR,1603627200,63.77,72,47,13.47,43.6181,4.0074
29,Lagos,NG,1603627200,87.3,76,58,5.01,6.5833,3.75
30,George Town,MY,1603627200,80.28,83,59,11.7,5.4112,100.3354
31,Barrow,US,1603627200,25.86,81,70,2.75,71.2906,-156.7887
32,Hobart,AU,1603627200,44.37,68,41,4.0,-42.8794,147.3294
33,Bluff,NZ,1603627200,46.67,91,100,9.82,-46.6,168.3333
34,Westport,US,1603627200,44.64,67,49,9.37,41.1415,-73.3579
35,Mataura,NZ,1603627200,46.42,96,100,2.73,-46.1927,168.8643
36,Portland,US,1603627200,39.16,53,1,8.08,45.5234,-122.6762
37,Jamestown,US,1603627200,32.49,93,7,4.12,42.097,-79.2353
38,Necochea,AR,1603627200,60.48,92,100,6.71,-38.5473,-58.7368
39,East London,ZA,1603627200,72.81,72,69,20.92,-33.0153,27.9116
40,Bodden Town,KY,1603627200,82.49,82,100,19.93,19.2833,-81.25
41,Greater Sudbury,CA,1603627200,29.7,82,84,2.71,46.49,-80.99
42,Ushuaia,AR,1603627200,45.97,77,87,2.98,-54.8,-68.3
43,Kang,BW,1603627200,97.86,15,88,6.38,-23.6752,22.7876
44,Ribeira Grande,PT,1603627200,65.44,69,60,8.23,38.5167,-28.7
45,Peniche,PT,1603627200,63.66,87,86,13.62,39.3558,-9.3811
46,Arraial do Cabo,BR,1603627200,71.15,91,95,23.85,-22.9661,-42.0278
47,Telimele,GN,1603627200,89.6,60,77,2.15,10.9167,-13.3333
48,Ubari,LY,1603627200,85.1,16,0,8.19,26.5921,12.7805
49,Midlothian,US,1603627200,51.13,94,7,6.98,32.4824,-96.9945
50,Eyl,SO,1603627200,85.71,41,0,13.56,7.9803,49.8164
51,Wattegama,LK,1603627200,89.92,54,69,4.45,6.7989,81.4808
52,Port Alfred,ZA,1603627200,70.99,70,95,19.08,-33.5906,26.891
53,Saint-Philippe,RE,1603627200,71.87,72,79,13.44,-21.3585,55.7679
