,City,Country,Date,Max Temp,Humidity,Cloudiness,Wind Speed,Latitude,Longitude
0,Punta Arenas,CL,1603627200,44.02,90,95,2.24,-53.15,-70.9167
1,Rikitea,PF,1603627200,73.15,83,100,5.12,-23.1203,-134.9692
2,Coruripe,BR,1603627200,83.88,70,65,11.3,-10.1256,-36.1756
3,Butaritari,KI,1603627200,81.14,71,97,8.14,3.0707,172.7902
4,Iqaluit,CA,1603627200,14.04,84,40,6.82,63.7506,-68.5145
5,Vestmannaeyjar,IS,1603627200,45.86,61,59,14.29,63.4427,-20.2734
6,Santa Rosa,PH,1603627200,79.86,88,95,8.61,14.3122,121.1114
7,Mount Isa,AU,1603627200,81.07,26,40,13.67,-20.7333,139.5
8,Mataura,NZ,1603627200,45.9,96,100,2.73,-46.1927,168.8643
9,Carnarvon,AU,1603627200,70.36,86,46,18.79,-24.8667,113.6333
10,Hithadhoo,MV,1603627200,83.98,72,21,8.14,-0.6,73.0833
11,East London,ZA,1603627200,73.11,64,40,20.92,-33.0153,27.9116
12,Port Elizabeth,ZA,1603627200,70.86,63,54,17.11,-33.918,25.5701
13,Bluff,NZ,1603627200,46.17,91,100,9.82,-46.6,168.3333
14,Busselton,AU,1603627200,69.31,57,20,8.21,-33.65,115.3333
15,Puerto Ayora,EC,1603627200,67.35,90,99,9.1,-0.7393,-90.3518
16,Vaini,TO,1603627200,74.89,84,92,21.27,-21.2,-175.2
17,Hanna,CA,1603627200,8.49,87,3,8.88,51.6334,-111.9018
18,Tiksi,RU,1603627200,6.71,90,99,29.39,71.6872,128.8694
19,Sumenep,ID,1603627200,86.29,64,72,8.59,-7.0167,113.8667
20,Marsá Maţrūḩ,EG,1603627200,77.34,64,0,17.49,31.3525,27.2453
21,Cape Town,ZA,1603627200,66.43,66,86,16.17,-33.9258,18.4232
22,Lagoa,PT,1603627200,64.29,66,92,10.89,39.05,-27.9833
23,Jacareacanga,BR,1603627200,74.57,94,95,1.07,-6.2222,-57.7528
24,Mislinja,SI,1603627200,62.11,63,5,3.22,46.4411,15.1956
25,Nikolskoye,RU,1603627200,43.27,85,93,3.06,59.7035,30.7861
26,Avarua,CK,1603627200,73.24,76,64,22.35,-21.2078,-159.775
27,Luanda,AO,1603627200,79.52,79,87,12.01,-8.8368,13.2343
28,Severo-Kuril'sk,RU,1603627200,44.58,83,35,6.91,50.6789,156.125
29,Auki,SB,1603627200,78.76,83,97,3.85,-8.7676,160.7034
30,Nouadhibou,MR,1603627200,77.77,54,100,17.43,20.931,-17.0347
31,Nālūt,LY,1603627200,87.13,17,9,2.68,30.3333,10.85
32,Mahébourg,MU,1603627200,76.59,67,78,15.1,-20.4081,57.7
33,Albany,US,1603627200,35.74,77,80,2.51,42.6001,-73.9662
34,Hobart,AU,1603627200,43.83,70,41,4.0,-42.8794,147.3294
35,Meadow Lake,US,1603627200,55.87,31,95,2.59,34.8014,-106.5436
36,Qaanaaq,GL,1603627200,17.85,88,90,11.48,77.484,-69.3632
37,Constitución,CL,1603627200,51.58,80,3,6.98,-35.3333,-72.4167
